Designator,Mid X,Mid Y,Rotation,Layer
C1,13.6,-70.425,90.0,bottom
C10,30.825,-91.175,0.0,bottom
C2,13.6,-67.225,270.0,bottom
C3,41.6,-96.875,180.0,bottom
C4,43.95,-96.275,90.0,bottom
C5,37.775,-83.025,225.0,bottom
C6,37.55,-79.5,270.0,bottom
C7,47.4,-89.8,45.0,bottom
C8,34.075,-89.5,225.0,bottom
C9,51.9,-92.975,0.0,bottom
D1,6.35,-53.831249,270.0,bottom
D10,185.7375,-54.76875,270.0,bottom
D11,204.7875,-54.76875,270.0,bottom
D12,223.8375,-54.76875,270.0,bottom
D13,242.8875,-54.76875,270.0,bottom
D14,261.9375,-54.76875,270.0,bottom
D15,280.9875,-54.76875,270.0,bottom
D16,14.2875,-73.81875,270.0,bottom
D17,33.3375,-73.81875,270.0,bottom
D18,52.3875,-73.81875,270.0,bottom
D19,71.4375,-73.81875,270.0,bottom
D2,33.3375,-54.76875,270.0,bottom
D20,90.4875,-73.81875,270.0,bottom
D21,109.5375,-73.81875,270.0,bottom
D22,128.5875,-73.81875,270.0,bottom
D23,147.6375,-73.81875,270.0,bottom
D24,166.6875,-73.81875,270.0,bottom
D25,185.7375,-73.81875,270.0,bottom
D26,204.7875,-73.81875,270.0,bottom
D27,223.8375,-73.81875,270.0,bottom
D28,242.8875,-73.81875,270.0,bottom
D29,261.9375,-73.81875,270.0,bottom
D3,52.3875,-54.76875,270.0,bottom
D30,280.9875,-73.81875,270.0,bottom
D31,14.2875,-92.86875,270.0,bottom
D32,34.1,-97.475,0.0,bottom
D33,53.1,-95.8,270.0,bottom
D34,71.4375,-92.86875,270.0,bottom
D35,90.4875,-92.86875,270.0,bottom
D36,109.5375,-92.86875,270.0,bottom
D37,128.5875,-92.86875,270.0,bottom
D38,147.6375,-92.86875,270.0,bottom
D39,166.6875,-92.86875,270.0,bottom
D4,71.4375,-54.76875,270.0,bottom
D40,185.7375,-92.86875,270.0,bottom
D41,204.7875,-92.86875,270.0,bottom
D42,223.8375,-92.86875,270.0,bottom
D43,242.8875,-92.86875,270.0,bottom
D44,261.9375,-92.86875,270.0,bottom
D45,280.9875,-92.86875,270.0,bottom
D46,14.2875,-111.91875,270.0,bottom
D47,33.3375,-111.91875,270.0,bottom
D48,52.3875,-111.91875,270.0,bottom
D49,71.4375,-111.91875,270.0,bottom
D5,90.4875,-54.76875,270.0,bottom
D50,90.4875,-111.91875,270.0,bottom
D51,109.22,-111.91875,270.0,bottom
D52,128.5875,-111.91875,270.0,bottom
D53,147.6375,-111.91875,270.0,bottom
D54,166.6875,-111.91875,270.0,bottom
D55,185.7375,-111.91875,270.0,bottom
D56,204.7875,-111.91875,270.0,bottom
D57,223.8375,-111.91875,270.0,bottom
D58,242.8875,-111.91875,270.0,bottom
D59,261.9375,-111.91875,270.0,bottom
D6,109.5375,-54.76875,270.0,bottom
D60,280.9875,-111.91875,270.0,bottom
D61,14.2875,-130.96875,270.0,bottom
D62,33.3375,-130.96875,270.0,bottom
D63,52.3875,-130.96875,270.0,bottom
D64,71.4375,-130.96875,270.0,bottom
D65,90.4875,-130.96875,270.0,bottom
D66,109.5375,-130.96875,270.0,bottom
D67,128.5875,-130.96875,270.0,bottom
D68,147.6375,-130.96875,270.0,bottom
D69,166.6875,-130.96875,270.0,bottom
D7,128.5875,-54.76875,270.0,bottom
D70,185.7375,-130.96875,270.0,bottom
D71,204.7875,-130.96875,270.0,bottom
D72,223.8375,-130.96875,270.0,bottom
D73,242.8875,-130.96875,270.0,bottom
D74,261.9375,-130.96875,270.0,bottom
D75,280.9875,-130.96875,270.0,bottom
D8,147.6375,-54.76875,270.0,bottom
D9,166.6875,-54.76875,270.0,bottom
F1,10.925,-52.4,180.0,bottom
FL1,22.425,-67.7,0.0,bottom
P1,18.581,-52.2732,180.0,bottom
R1,26.2,-66.875,0.0,bottom
R2,26.2,-68.55,0.0,bottom
R3,20.1676,-86.7542,90.0,bottom
R5,20.85,-56.85,0.0,bottom
R6,15.9,-56.775,180.0,bottom
S1,9.525,-57.15,0.0,bottom
S10,180.975,-57.15,0.0,bottom
S11,200.025,-57.15,0.0,bottom
S12,219.075,-57.15,0.0,bottom
S13,238.125,-57.15,0.0,bottom
S14,257.175,-57.15,0.0,bottom
S15,276.225,-57.15,0.0,bottom
S16,9.525,-76.2,0.0,bottom
S17,28.575,-76.2,0.0,bottom
S18,47.625,-76.2,0.0,bottom
S19,66.675,-76.2,0.0,bottom
S2,28.575,-57.15,0.0,bottom
S20,85.725,-76.2,0.0,bottom
S21,104.775,-76.2,0.0,bottom
S22,123.825,-76.2,0.0,bottom
S23,142.875,-76.2,0.0,bottom
S24,161.925,-76.2,0.0,bottom
S25,180.975,-76.2,0.0,bottom
S26,200.025,-76.2,0.0,bottom
S27,219.075,-76.2,0.0,bottom
S28,238.125,-76.2,0.0,bottom
S29,257.175,-76.2,0.0,bottom
S3,47.625,-57.15,0.0,bottom
S30,276.225,-76.2,0.0,bottom
S31,9.525,-95.25,0.0,bottom
S32,28.575,-95.25,0.0,bottom
S33,47.625,-95.25,0.0,bottom
S34,66.675,-95.25,0.0,bottom
S35,85.725,-95.25,0.0,bottom
S36,104.775,-95.25,0.0,bottom
S37,123.825,-95.25,0.0,bottom
S38,142.875,-95.25,0.0,bottom
S39,161.925,-95.25,0.0,bottom
S4,66.675,-57.15,0.0,bottom
S40,180.975,-95.25,0.0,bottom
S41,200.025,-95.25,0.0,bottom
S42,219.075,-95.25,0.0,bottom
S43,238.125,-95.25,0.0,bottom
S44,257.175,-95.25,0.0,bottom
S45,276.225,-95.25,0.0,bottom
S46,9.525,-114.3,0.0,bottom
S47,28.575,-114.3,0.0,bottom
S48,47.625,-114.3,0.0,bottom
S49,66.675,-114.3,0.0,bottom
S5,85.725,-57.15,0.0,bottom
S50,85.725,-114.3,0.0,bottom
S51,104.775,-114.3,0.0,bottom
S52,123.825,-114.3,0.0,bottom
S53,142.875,-114.3,0.0,bottom
S54,161.925,-114.3,0.0,bottom
S55,180.975,-114.3,0.0,bottom
S56,200.025,-114.3,0.0,bottom
S57,219.075,-114.3,0.0,bottom
S58,238.125,-114.3,0.0,bottom
S59,257.175,-114.3,0.0,bottom
S6,104.775,-57.15,0.0,bottom
S60,276.225,-114.3,0.0,bottom
S61,9.525,-133.35,0.0,bottom
S62,28.575,-133.35,0.0,bottom
S63,47.625,-133.35,0.0,bottom
S64,66.675,-133.35,0.0,bottom
S65,85.725,-133.35,0.0,bottom
S66,104.775,-133.35,0.0,bottom
S67,123.825,-133.35,0.0,bottom
S68,142.875,-133.35,0.0,bottom
S69,161.925,-133.35,0.0,bottom
S7,123.825,-57.15,0.0,bottom
S70,180.975,-133.35,0.0,bottom
S71,200.025,-133.35,0.0,bottom
S72,219.075,-133.35,0.0,bottom
S73,238.125,-133.35,0.0,bottom
S74,257.175,-133.35,0.0,bottom
S75,276.225,-133.35,0.0,bottom
S8,142.875,-57.15,0.0,bottom
S9,161.925,-57.15,0.0,bottom
SW1,22.23,-93.090601,90.0,bottom
U1,8.25,-69.2375,180.0,bottom
U2,40.75,-89.675,315.0,bottom
