Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C4",0603,3,1u,
"C10, C6",0603,2,4.7u,
C3,0603,1,10n,
"C5, C7, C8, C9",0603,4,100n,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D64, D65, D66, D67, D68, D69, D7, D70, D71, D72, D73, D74, D75, D8, D9",0805,75,Diode,
F1,1206,1,Polyfuse,
FL1,SOT-23-6,1,USBLC6,
P1,USB_C_Receptacle_Palconn_UTC16-G,1,USB_C_Plug_USB2.0,
"R1, R2",0603,2,22,
R3,0603,1,10k,
"R5, R6",0603,2,5.1k,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S45, S46, S47, S48, S49, S5, S50, S51, S52, S53, S54, S55, S56, S57, S58, S59, S6, S60, S61, S62, S63, S64, S65, S66, S67, S68, S69, S7, S70, S71, S72, S73, S74, S75, S8, S9",Gateron-KS33-Hotswap-1U,75,Keyswitch,
SW1,SW_SPST_TL3342,1,SW_Push,
U1,SOT-223-3_TabPin2,1,MCP1703Ax-330xxDB,
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBTx,
